"persons","age","contacted_by_phone","voted_last_election","donation"
2,74,1,1,474
2,24,1,1,1158
2,81,1,1,3872
2,34,1,0,0
2,54,1,1,0
2,65,1,1,0
2,52,1,1,3101
2,44,1,1,1332
2,52,1,1,0
2,30,1,0,0
2,57,1,1,0
2,73,1,1,0
2,26,1,0,0
2,38,1,0,0
2,61,1,1,0
2,77,1,1,334
2,53,1,1,0
2,46,1,1,0
2,76,1,1,774
2,55,1,1,4000
2,84,1,0,0
2,45,1,1,0
2,40,1,0,0
2,44,1,1,1244
2,33,1,1,2878
2,60,1,1,2857
2,76,1,1,1902
2,71,1,1,0
2,43,1,1,971
2,66,1,1,0
2,79,1,1,0
2,48,1,1,4000
2,62,1,1,2877
2,78,1,1,1874
2,55,1,1,1048
2,72,1,1,1382
2,53,1,1,0
2,89,1,1,3390
2,86,1,1,0
2,75,1,1,0
2,47,1,0,0
2,28,1,1,708
2,51,1,0,1872
2,73,1,1,559
2,78,1,1,0
2,38,1,1,3510
2,80,1,1,4000
2,75,1,1,0
2,79,1,0,0
2,72,1,0,798
2,75,1,0,0
2,65,1,0,0
2,52,1,0,1648
2,74,0,1,185
2,37,0,1,837
2,78,0,1,1068
2,21,0,1,492
2,43,0,1,723
2,28,0,0,1365
2,45,0,1,0
2,78,0,1,0
2,67,0,1,0
2,70,0,1,0
2,47,0,0,542
2,47,0,1,1774
2,40,0,1,0
2,78,0,1,0
2,92,0,0,0
2,26,0,0,0
2,64,0,1,3099
2,57,0,0,0
2,28,0,0,0
2,60,0,0,0
2,29,0,1,1182
2,47,0,0,0
2,39,0,1,0
2,79,0,1,111
2,43,0,1,0
2,55,0,0,4000
2,36,0,1,0
2,27,0,1,4000
2,51,0,1,2822
2,54,0,1,0
2,30,0,0,0
2,37,0,0,1312
2,37,0,0,0
2,79,0,1,930
2,61,0,0,0
2,79,0,1,0
2,42,0,1,0
2,40,0,0,17
2,75,0,1,1248
2,66,0,1,269
2,88,0,0,0
2,77,0,1,1412
2,41,0,0,0
2,47,0,0,7
2,65,0,0,3250
2,56,0,0,1352
2,38,0,1,0
2,54,0,0,0
2,50,0,1,591
2,59,0,1,0
2,57,0,1,0
2,65,0,1,4000
2,66,0,1,0
2,64,0,1,0
2,33,0,0,2067
2,25,0,1,2165
2,64,0,0,2973
2,43,0,0,0
2,46,0,0,229
2,45,0,0,141
2,20,0,0,66
2,46,0,1,0
2,34,0,1,0
2,86,0,1,1396
2,73,0,0,0
2,74,0,1,357
2,35,0,0,0
2,50,0,0,756
2,42,0,0,1299
2,61,0,1,1811
2,39,0,0,0
2,34,0,0,0
2,24,0,0,0
2,88,0,1,491
2,41,0,1,0
2,45,0,0,608
2,41,0,1,0
2,58,0,1,641
2,50,0,1,81
2,26,0,0,0
2,57,0,0,1750
2,57,0,0,0
2,83,0,0,0
2,64,0,0,67
2,33,0,1,937
2,58,0,1,0
2,65,0,1,1037
2,34,0,1,81
2,46,0,1,687
2,47,0,0,0
2,33,0,0,0
2,57,0,1,917
2,75,0,1,0
2,31,0,0,750
2,79,0,0,0
2,91,0,0,1358
2,42,0,0,0
2,76,0,1,0
2,62,0,1,0
2,39,0,0,1954
2,26,0,0,0
2,85,0,0,0
2,30,0,0,0
2,37,0,0,0
2,39,0,0,0
2,39,0,1,0
2,47,0,0,0
2,74,0,1,0
2,40,0,1,1375
2,34,0,1,0
2,36,0,0,563
2,74,0,1,663
2,89,0,0,0
2,58,0,0,1980
2,47,0,0,0
2,31,0,0,928
2,73,0,0,1048
2,39,0,0,0
2,37,0,1,2260
2,35,0,1,0
2,29,0,0,2179
2,41,0,1,0
2,34,0,0,991
2,46,0,0,0
2,56,0,1,0
2,33,0,0,1185
2,51,0,1,0
2,66,0,1,1693
2,62,0,1,0
2,80,0,1,275
2,82,0,1,0
2,47,0,1,1010
2,20,0,0,2005
2,40,0,1,0
2,61,0,0,1423
2,68,0,1,0
2,34,0,0,3924
2,73,0,1,0
2,52,0,1,0
2,35,0,0,0
2,35,0,0,246
2,73,0,1,0
2,43,0,1,281
2,76,0,1,0
2,45,0,1,2678
2,47,0,0,2164
2,49,0,0,1163
2,82,0,1,0
2,59,0,0,0
2,49,0,0,0
2,37,0,0,1918
2,74,0,0,642
2,61,0,1,0
2,26,0,0,877
2,48,0,0,0
2,38,0,0,0
2,48,0,1,0
2,50,0,1,437
2,36,0,1,3247
2,46,0,0,2311
2,34,0,0,0
2,85,0,1,2283
2,68,0,0,0
2,63,0,1,169
2,48,0,1,0
2,65,0,1,790
2,32,0,1,0
2,39,0,1,0
2,68,0,0,1144
2,26,0,0,20
2,19,0,0,0
2,61,0,1,1539
2,77,0,1,2000
2,25,0,1,721
2,69,0,1,0
2,73,0,1,0
2,46,0,1,0
2,38,0,0,0
2,22,0,1,0
2,35,0,0,0
2,49,0,0,986
2,53,0,1,0
2,36,0,0,74
2,57,0,1,0
2,20,0,0,929
2,51,0,1,0
2,33,0,1,1848
2,74,0,1,0
2,42,0,1,0
2,31,0,0,0
2,54,0,0,1123
2,44,0,0,364
2,64,0,1,326
2,49,0,1,0
2,38,0,0,0
2,53,0,1,0
2,41,0,0,0
2,63,0,1,1529
2,71,0,1,981
2,51,0,1,0
2,55,0,1,2671
2,48,0,1,0
2,42,0,1,0
2,27,0,0,0
2,60,0,1,0
2,58,0,1,3335
2,28,0,1,161
2,23,0,0,1862
2,47,0,0,1259
2,71,0,1,816
2,39,0,1,0
2,44,0,1,1517
2,43,0,1,1794
2,97,0,0,992
2,44,0,1,0
2,29,0,0,0
2,27,0,1,0
2,59,0,1,0
2,84,0,1,0
2,42,0,1,0
2,29,0,0,154
2,57,0,1,1835
2,44,0,1,932
2,28,0,0,0
2,89,0,1,0
2,32,0,1,0
2,49,0,1,854
2,42,0,0,0
2,81,0,0,0
2,68,0,0,0
2,32,0,1,2259
2,51,0,0,1678
2,53,0,1,0
2,38,0,1,2569
2,62,0,1,0
2,51,0,1,0
2,24,0,1,3841
2,33,0,1,0
2,22,0,0,1314
2,37,0,0,841
2,43,0,1,547
2,38,0,0,0
2,48,0,1,1660
2,29,0,0,0
2,75,0,1,230
2,60,0,1,0
2,53,0,0,0
2,41,0,1,0
2,35,0,0,1062
2,43,0,1,1491
2,50,0,1,261
2,20,0,0,0
2,39,0,1,0
2,71,0,1,1070
2,35,0,1,0
2,56,0,1,1300
2,30,0,0,0
2,52,0,1,922
2,57,0,1,2666
2,37,0,1,0
2,69,0,1,0
2,37,0,0,0
2,56,0,0,3177
2,65,0,0,0
2,42,0,0,720
2,50,0,0,0
2,74,0,1,0
2,35,0,1,365
2,53,0,1,0
2,53,0,1,718
2,57,0,1,0
2,22,0,0,0
2,78,0,1,0
2,46,0,1,0
2,33,0,1,0
2,69,0,1,1921
2,33,0,1,2911
2,34,0,0,3303
2,34,0,1,583
2,46,0,1,0
2,32,0,0,1993
2,53,0,1,0
2,44,0,0,288
2,45,0,1,0
2,37,0,0,1288
2,46,0,0,2753
2,41,0,0,0
2,64,0,1,0
2,55,0,1,566
2,29,0,0,4000
2,42,0,1,2044
2,73,0,0,0
2,34,0,0,0
2,59,0,1,208
2,35,0,0,2298
2,80,0,1,0
