years,percent,n_countries_at_war
1816,69.5652173913043,0
1817,69.5652173913043,0
1818,69.5652173913043,0
1819,69.5652173913043,0
1820,69.5652173913043,0
1821,56.5217391304348,0
1822,54.1666666666667,0
1823,50,2
1824,50,0
1825,48,0
1826,48,0
1827,56,0
1828,53.8461538461538,2
1829,53.8461538461538,2
1830,44.4444444444444,0
1831,44.8275862068966,0
1832,51.7241379310345,0
1833,62.0689655172414,0
1834,62.0689655172414,0
1835,62.0689655172414,0
1836,62.0689655172414,0
1837,60,0
1838,63.3333333333333,0
1839,59.375,0
1840,53.125,0
1841,50,0
1842,45.7142857142857,0
1843,47.2222222222222,0
1844,47.2222222222222,0
1845,47.2222222222222,0
1846,45.945945945946,2
1847,52.6315789473684,2
1848,46.1538461538462,6
1849,38.4615384615385,4
1850,38.4615384615385,0
1851,40,2
1852,40,2
1853,40,2
1854,41.4634146341463,4
1855,41.8604651162791,5
1856,46.5116279069767,7
1857,41.8604651162791,2
1858,41.8604651162791,0
1859,47.7272727272727,5
1860,41.304347826087,6
1861,42.8571428571429,2
1862,43.9024390243902,2
1863,46.3414634146341,4
1864,51.219512195122,7
1865,53.6585365853659,7
1866,51.219512195122,19
1867,46.1538461538462,5
1868,45.945945945946,3
1869,45.945945945946,3
1870,45.945945945946,8
1871,36.1111111111111,2
1872,30.3030303030303,0
1873,33.3333333333333,0
1874,33.3333333333333,0
1875,32.3529411764706,0
1876,31.4285714285714,2
1877,31.4285714285714,2
1878,29.7297297297297,2
1879,27.027027027027,3
1880,27.027027027027,3
1881,29.7297297297297,3
1882,35.1351351351351,5
1883,30.5555555555556,3
1884,25,2
1885,25,4
1886,25,0
1887,26.3157894736842,0
1888,26.3157894736842,0
1889,26.3157894736842,0
1890,26.3157894736842,0
1891,28.9473684210526,0
1892,28.9473684210526,0
1893,28.9473684210526,0
1894,33.3333333333333,2
1895,33.3333333333333,2
1896,25.6410256410256,0
1897,25.6410256410256,2
1898,25,2
1899,24.390243902439,0
1900,23.8095238095238,8
1901,21.4285714285714,0
1902,23.2558139534884,0
1903,22.7272727272727,0
1904,25,2
1905,24.4444444444444,2
1906,25,3
1907,37.2093023255814,3
1908,43.1818181818182,0
1909,42.2222222222222,2
1910,37.7777777777778,2
1911,40,2
1912,44.4444444444444,6
1913,45.4545454545455,7
1914,46.6666666666667,9
1915,46.6666666666667,11
1916,45.4545454545455,13
1917,45.4545454545455,15
1918,38,19
1919,9.80392156862745,17
1920,15.2542372881356,14
1921,28.3333333333333,4
1922,27.8688524590164,2
1923,39.344262295082,0
1924,40.3225806451613,0
1925,41.9354838709677,0
1926,46.031746031746,0
1927,45.3125,0
1928,46.875,0
1929,50,2
1930,50,0
1931,50,2
1932,49.2307692307692,4
1933,41.5384615384615,4
1934,45.4545454545455,4
1935,45.4545454545455,4
1936,75.7575757575758,2
1937,75.7575757575758,2
1938,75.7575757575758,4
1939,78.4615384615385,15
1940,80.6451612903226,19
1941,81.8181818181818,23
1942,77.3584905660377,15
1943,78.8461538461538,16
1944,74.1379310344828,18
1945,73.4375,16
1946,65.1515151515152,0
1947,69.1176470588235,2
1948,70.8333333333333,8
1949,74.6666666666667,2
1950,73.3333333333333,9
1951,76.3157894736842,16
1952,75.3246753246753,16
1953,79.746835443038,16
1954,81.7073170731707,2
1955,82.1428571428571,2
1956,81.6091954022989,6
1957,79.7752808988764,2
1958,78.8888888888889,5
1959,80.8988764044944,0
1960,73.8317757009346,0
1961,82.8828828828829,0
1962,82.051282051282,2
1963,83.1932773109244,0
1964,78.6885245901639,0
1965,66.4,7
1966,65.8914728682171,6
1967,66.9230769230769,11
1968,65.4135338345865,10
1969,65.4135338345865,14
1970,65.6716417910448,18
1971,65.7142857142857,18
1972,66.4285714285714,12
1973,65.9574468085106,17
1974,66.4335664335664,5
1975,64,7
1976,64.2384105960265,4
1977,67.1052631578947,5
1978,71.4285714285714,7
1979,71.7948717948718,7
1980,71.1538461538462,2
1981,71.6981132075472,2
1982,73.5849056603774,6
1983,71.875,2
1984,71.4285714285714,2
1985,71.4285714285714,2
1986,71.4285714285714,4
1987,70.8074534161491,6
1988,71.4285714285714,2
1989,71.4285714285714,0
1990,66.0606060606061,2
1991,63.8418079096045,14
1992,70.1657458563536,3
1993,68.2795698924731,2
1994,68.4491978609626,2
1995,67.379679144385,2
1996,67.379679144385,0
1997,67.379679144385,0
1998,68.4491978609626,2
1999,68.9473684210526,12
2000,72.2513089005236,2
2001,72.2513089005236,6
2002,71.875,0
2003,71.875,4
2004,71.875,0
2005,71.875,0
2006,73.0569948186529,0
2007,73.0569948186529,0
2008,72.680412371134,0
2009,72.680412371134,0
2010,72.680412371134,0
2011,72.3076923076923,0
2012,72.8205128205128,0
